date,open,high,low,close,volume,ma,pivot,r1,ret,cap,dailyr
2016-04-03,417.95,418.0,409.4,417.7,15694.92,450.995,381.56666666666666,508.33333333333337,0.0,117472.09999999985,117472.09999999985
2016-04-04,451.35,451.55,442.1,445.2,13852.56,449.73,415.0333333333333,353.73333333333335,0.0,117472.09999999985,117472.09999999985
2016-04-05,466.4,470.0,460.3,464.65,13338.453333333333,445.85,446.28333333333336,387.9666666666666,0.0,117472.09999999985,117472.09999999985
2016-04-07,545.8,546.6,539.5,543.0,11394.56,445.5425,464.9833333333333,432.2666666666667,-1174.5000000001187,116297.59999999973,116297.59999999973
2016-04-08,551.0,555.95,544.7,549.0,13604.466666666667,445.4925,543.0333333333333,390.4666666666666,-1162.7000000000755,115134.89999999966,115134.89999999966
2016-04-10,552.45,552.6,541.3,547.85,11979.013333333334,449.08500000000004,549.8833333333333,541.3666666666666,-1150.8000000000436,113984.09999999961,113984.09999999961
2016-04-11,474.65,485.7,474.35,478.0,15708.866666666667,452.14750000000004,547.25,558.4666666666667,0.0,113984.09999999961,113984.09999999961
2016-04-13,440.65,445.3,438.3,439.5,15945.4,453.18250000000006,479.34999999999997,620.15,0.0,113984.09999999961,113984.09999999961
2016-04-18,441.1,446.05,437.4,445.3,10188.733333333334,454.15250000000003,441.0333333333333,520.3999999999999,0.0,113984.09999999961,113984.09999999961
2016-04-20,446.1,460.6,444.55,458.85,17427.066666666666,455.76500000000004,442.9166666666667,444.66666666666663,-1139.8500000000304,112844.24999999958,112844.24999999958
2016-04-21,464.75,472.7,463.0,466.0,17978.533333333333,457.21500000000003,454.6666666666667,441.28333333333336,-1127.9999999999893,111716.24999999959,111716.24999999959
2016-04-22,465.0,478.35,462.15,474.8,14703.786666666667,458.7275000000001,467.23333333333335,446.33333333333337,2969.400000000007,114685.6499999996,114685.6499999996
2016-04-25,474.1,477.35,465.0,472.7,15528.106666666667,460.3375000000001,471.76666666666665,472.3166666666667,0.0,114685.6499999996,114685.6499999996
2016-04-26,470.0,484.9,463.75,478.35,18346.066666666666,462.3650000000001,471.68333333333334,478.5333333333333,-787.5,113898.1499999996,113898.1499999996
2016-04-27,463.0,473.4,458.3,464.25,23747.6,464.3025000000001,475.6666666666667,479.6166666666667,0.0,113898.1499999996,113898.1499999996
2016-04-28,463.0,471.65,461.95,466.15,20256.013333333332,466.16000000000014,465.31666666666666,493.03333333333336,0.0,113898.1499999996,113898.1499999996
2016-04-29,466.65,477.4,465.05,471.0,13573.053333333333,467.4975000000001,466.5833333333333,468.68333333333334,133.99999999999238,114032.14999999959,114032.14999999959
2016-05-01,439.9,439.9,433.6,435.6,13020.333333333334,467.00250000000017,471.15000000000003,468.1166666666666,0.0,114032.14999999959,114032.14999999959
2016-05-02,384.45,404.3,384.3,402.85,19205.333333333332,465.2675000000002,436.3666666666666,508.70000000000005,0.0,114032.14999999959,114032.14999999959
2016-05-04,443.25,449.5,431.0,431.3,18671.533333333333,467.60250000000013,397.15000000000003,488.4333333333332,0.0,114032.14999999959,114032.14999999959
2016-05-05,463.4,466.55,458.45,461.7,13177.746666666666,469.8025000000001,437.26666666666665,363.30000000000007,-1140.0,112892.14999999959,112892.14999999959
2016-05-07,541.2,546.25,535.75,539.15,11371.453333333333,474.5000000000001,462.23333333333335,416.0833333333333,-1128.7999999999358,111763.34999999966,111763.34999999966
2016-05-08,551.5,569.0,551.0,564.55,15665.64,479.49500000000006,540.3833333333333,388.7166666666667,-1118.0,110645.34999999966,110645.34999999966
2016-05-10,550.0,550.65,533.25,533.25,15853.893333333333,479.00750000000005,561.5166666666667,529.7666666666667,0.0,110645.34999999966,110645.34999999966
2016-05-12,458.0,464.7,455.8,461.9,11377.893333333333,474.65250000000003,539.0500000000001,589.7833333333333,0.0,110645.34999999966,110645.34999999966
2016-05-13,492.55,496.15,486.6,491.35,14182.04,471.82750000000004,460.8,622.3000000000002,0.0,110645.34999999966,110645.34999999966
