2017-12-07, Close, 1230.23
2017-12-08, Close, 1222.83
2017-12-11, Close, 1250.85
2017-12-12, Close, 1227.84
2017-12-13, Close, 1235.48
2017-12-14, Close, 1202.29
2017-12-15, Close, 1196.56
2017-12-18, Close, 1212.96
2017-12-19, Close, 1210.52
2017-12-20, Close, 1216.93
2017-12-21, Close, 1220.11
2017-12-22, Close, 1244.11
2017-12-26, Close, 1245.37
2017-12-27, Close, 1231.48
2017-12-28, Close, 1234.79
2017-12-29, Close, 1269.70
2018-01-01, Close, 1243.56
2018-01-02, Close, 1236.79
2018-01-03, Close, 1240.29
2018-01-04, Close, 1248.97
2018-01-05, Close, 1264.06
2018-01-05, BUY CREATE, 1264.06
2018-01-08, BUY EXECUTED, Price: 1269.13, Cost: 100000.00, Comm 200.00
2018-01-08, Close, 1275.90
2018-01-08, SELL EXIT, 1275.90
2018-01-09, SELL EXECUTED, Price: 1276.18, Cost: 100000.00, Comm 200.00
2018-01-09, OPERATION PROFIT, GROSS 528.75, NET 128.75
2018-01-09, Close, 1273.36
2018-01-10, Close, 1319.24
2018-01-11, Close, 1311.67
2018-01-12, Close, 1305.03
2018-01-15, Close, 1290.80
2018-01-16, Close, 1340.05
2018-01-17, Close, 1357.94
2018-01-18, Close, 1371.70
2018-01-19, Close, 1391.02
2018-01-22, Close, 1468.34
2018-01-23, Close, 1461.55
2018-01-24, Close, 1495.76
2018-01-24, BUY CREATE, 1495.76
2018-01-25, BUY EXECUTED, Price: 1495.95, Cost: 100000.00, Comm 200.00
2018-01-25, Close, 1470.53
2018-01-25, SELL EXIT, 1470.53
2018-01-29, SELL EXECUTED, Price: 1475.40, Cost: 100000.00, Comm 200.00
2018-01-29, OPERATION PROFIT, GROSS -1541.25, NET -1941.25
2018-01-29, Close, 1507.19
2018-01-30, Close, 1485.51
2018-01-31, Close, 1466.43
2018-02-01, Close, 1478.80
2018-02-01, BUY CREATE, 1478.80
2018-02-02, BUY EXECUTED, Price: 1470.03, Cost: 100000.00, Comm 200.00
2018-02-02, Close, 1485.88
2018-02-02, SELL EXIT, 1485.88
2018-02-05, SELL EXECUTED, Price: 1465.32, Cost: 100000.00, Comm 200.00
2018-02-05, OPERATION PROFIT, GROSS -353.25, NET -753.25
2018-02-05, Close, 1462.12
2018-02-06, Close, 1412.19
2018-02-07, Close, 1392.32
2018-02-08, Close, 1401.34
2018-02-09, Close, 1400.16
2018-02-12, Close, 1398.09
2018-02-14, Close, 1371.94
2018-02-15, Close, 1378.56
2018-02-16, Close, 1381.95
2018-02-19, Close, 1377.50
2018-02-20, Close, 1387.47
2018-02-21, Close, 1433.42
2018-02-22, Close, 1437.14
2018-02-23, Close, 1449.21
2018-02-26, Close, 1428.43
2018-02-27, Close, 1433.45
2018-02-28, Close, 1430.01
2018-03-01, Close, 1431.25
2018-03-05, Close, 1463.37
2018-03-06, Close, 1433.66
2018-03-07, Close, 1426.42
2018-03-08, Close, 1415.35
2018-03-09, Close, 1429.56
2018-03-12, Close, 1438.06
2018-03-13, Close, 1360.16
2018-03-14, Close, 1360.20
2018-03-15, Close, 1352.10
2018-03-16, Close, 1331.37
2018-03-19, Close, 1333.87
2018-03-20, Close, 1349.82
2018-03-21, Close, 1346.00
2018-03-22, Close, 1334.04
2018-03-23, Close, 1327.81
2018-03-26, Close, 1327.27
2018-03-27, Close, 1341.73
2018-03-28, Close, 1342.41
2018-04-02, Close, 1370.92
2018-04-03, Close, 1371.67
2018-04-04, Close, 1371.51
2018-04-04, BUY CREATE, 1371.51
2018-04-05, BUY EXECUTED, Price: 1378.89, Cost: 100000.00, Comm 200.00
2018-04-05, Close, 1393.67
2018-04-05, SELL EXIT, 1393.67
2018-04-06, SELL EXECUTED, Price: 1391.82, Cost: 100000.00, Comm 200.00
2018-04-06, OPERATION PROFIT, GROSS 969.75, NET 569.75
2018-04-06, Close, 1390.08
